,rank,title,studio,lifetime_gross,theaters,opening,theaters,release_date,genre
205,69,Dark Streets,Gold.,"$16,815",18,"$10,958",18,12/12/08,neonoir
206,70,Welcome to the Punch,IFC,"$9,747",9,"$2,736",2,3/27/13,neonoir
207,71,Apart (2012),Truly,"$3,161",2,"$3,161",2,3/9/12,neonoir
208,72,The Girl on the Train (2014),Mont.,"$3,124",2,$211,1,7/4/14,neonoir
209,NaN,"Crouching Tiger, Hidden Dragon(Taiwan)",SPC,"$128,078,872","2,027","$663,205",16,12/8/00,foreign
210,2,Life Is Beautiful(Italy),Mira.,"$57,563,264","1,136","$118,920",6,10/23/98,foreign
211,3,Hero(China),Mira.,"$53,710,019","2,175","$18,004,319","2,031",8/27/04,foreign
212,4,Instructions Not Included,LGF,"$44,467,206",978,"$7,846,426",348,8/30/13,foreign
213,5,Pan's Labyrinth(Mexico),PicH,"$37,634,615","1,143","$568,641",17,12/29/06,foreign
214,6,Amelie(France),Mira.,"$33,225,499",303,"$136,470",3,11/2/01,foreign
215,7,Jet Li's Fearless(China),Rog.,"$24,633,730","1,810","$10,590,244","1,806",9/22/06,foreign
216,8,Il Postino(Italy),Mira.,"$21,848,932",430,"$95,310",10,6/16/95,foreign
217,9,Like Water for Chocolate(Mexico),Mira.,"$21,665,468",64,"$23,600",2,2/19/93,foreign
218,10,La Cage aux Folles(France),MGM,"$20,424,259",-,"$18,709",5,3/30/79,foreign
219,11,Kung Fu Hustle(China),SPC,"$17,108,591","2,503","$269,225",7,4/8/05,foreign
220,12,The Motorcycle Diaries(Argentina),Focus,"$16,781,387",272,"$159,819",3,9/24/04,foreign
221,13,Iron Monkey(Hong Kong),Mira.,"$14,694,904","1,235","$6,014,653","1,225",10/12/01,foreign
222,14,Monsoon Wedding(India),USA,"$13,885,966",254,"$68,546",2,2/22/02,foreign
223,15,Y Tu Mama Tambien(Mexico),IFC,"$13,839,658",286,"$408,091",40,3/15/02,foreign
224,16,Volver(Spain),SPC,"$12,899,867",689,"$197,703",5,11/3/06,foreign
225,17,Under the Same Moon,Wein.,"$12,590,147",454,"$2,769,655",266,3/19/08,foreign
226,18,Cinema Paradiso(Italy),Mira.,"$12,397,210",124,"$16,552",1,2/2/90,foreign
227,19,The Protector (2006)(Thailand),W/DD,"$12,044,087","1,541","$5,034,180","1,541",9/8/06,foreign
228,20,Das Boot(Germany),Col.,"$11,487,676",2,"$26,994",2,2/10/82,foreign
229,21,The Lives of Others(Germany),SPC,"$11,286,112",259,"$213,589",9,2/9/07,foreign
230,22,Brotherhood of the Wolf(France),Uni.,"$11,260,096",405,"$475,181",21,1/11/02,foreign
231,23,House of Flying Daggers(China),SPC,"$11,050,094","1,189","$397,472",15,12/3/04,foreign
232,24,P.K.,UTV,"$10,616,104",272,"$3,565,258",272,12/19/14,foreign
233,25,La Vie en Rose(France),PicH,"$10,301,706",178,"$179,848",8,6/8/07,foreign
234,26,The Intouchables (U.S.-only),Wein.,"$10,198,820",194,"$103,507",4,5/25/12,foreign
235,27,The Girl with the Dragon Tattoo,MBox,"$10,095,170",202,"$335,502",34,3/19/10,foreign
236,28,Shall We Dance?(Japan),Mira.,"$9,499,091",-,n/a,-,7/11/97,foreign
237,29,Talk to Her(Spain),SPC,"$9,285,469",255,"$104,396",2,11/22/02,foreign
238,30,Un Gallo con Muchos Huevos,LGF,"$9,080,818",616,"$3,424,702",395,9/4/15,foreign
239,31,My Life as a Dog(Sweden),Skou,"$8,345,266",1,"$11,667",1,5/1/87,foreign
240,32,All About My Mother(Spain),SPC,"$8,272,296",145,"$50,362",4,11/5/99,foreign
241,33,Dhoom 3,Yash,"$8,031,955",239,"$3,423,508",239,12/20/13,foreign
242,34,Sarah's Key,Wein.,"$7,693,187",319,"$115,708",5,7/22/11,foreign
243,35,The Girl Who Played with Fire,MBox,"$7,638,241",185,"$904,998",108,7/9/10,foreign
244,36,City of God(Brazil),Mira.,"$7,564,459",242,"$88,292",5,1/17/03,foreign
245,37,Eat Drink Man Woman(Taiwan),Gold.,"$7,294,403",217,"$155,512",14,8/3/94,foreign
246,38,Run Lola Run(Germany),SPC,"$7,267,585",172,"$123,643",12,6/18/99,foreign
247,39,Women on the Verge of a Nervous Breakdown(Spain),OrionC,"$7,179,298",-,n/a,-,11/11/88,foreign
248,40,The Orphanage(Spain),PicH,"$7,161,284",707,"$233,323",19,12/28/07,foreign
249,41,A Separation,SPC,"$7,099,055",282,"$59,481",3,12/30/11,foreign
250,42,La Cage aux Folles 2(France),MGM,"$6,950,125",-,n/a,-,2/15/81,foreign
251,43,The Wedding Banquet(Taiwan),Gold.,"$6,933,459",113,"$134,870",7,8/6/93,foreign
252,44,Fanny and Alexander(Sweden),Emb,"$6,783,304",-,n/a,-,6/17/83,foreign
253,45,Amour,SPC,"$6,739,492",333,"$68,266",3,12/19/12,foreign
254,46,The Closet (Le Placard)(France),Mira.,"$6,678,894",145,"$311,022",44,6/6/01,foreign
255,47,The Grandmaster,Wein.,"$6,594,959",804,"$132,617",7,8/23/13,foreign
256,48,Curse of the Golden Flower,SPC,"$6,566,773","1,234","$478,771",60,12/21/06,foreign
257,49,3 Idiots,Relbig.,"$6,532,874",156,"$1,645,502",119,12/23/09,foreign
258,50,Maria Full of Grace,FL,"$6,529,624",127,"$139,066",7,7/16/04,foreign
259,51,A Very Long Engagement(France),WIP,"$6,524,389",219,"$101,749",4,11/26/04,foreign
260,52,The Secret in Their Eyes,SPC,"$6,391,436",166,"$167,866",10,4/16/10,foreign
261,53,Cantinflas,LGF,"$6,382,924",429,"$2,661,253",382,8/29/14,foreign
262,54,Nowhere in Africa(Germany),Zeit.,"$6,180,200",78,"$22,070",2,3/7/03,foreign
263,55,Tell No One(France),MBox,"$6,177,192",112,"$169,707",8,7/2/08,foreign
264,56,Coco Before Chanel(France),SPC,"$6,113,834",307,"$406,768",43,9/25/09,foreign
