,rank,title,studio,lifetime_gross,theaters,opening,theaters,release_date,genre
8319,5,Red Dragon,Uni.,"$93,149,898","3,363","$36,540,945","3,357",10/4/02,serialkillerthriller
8320,6,Saw II,Lions,"$87,039,965","2,949","$31,725,652","2,949",10/28/05,serialkillerthriller
8321,7,Saw III,LGF,"$80,238,724","3,167","$33,610,391","3,167",10/27/06,serialkillerthriller
8322,8,The Bone Collector,Uni.,"$66,518,655","2,623","$16,712,020","2,587",11/5/99,serialkillerthriller
8323,9,Saw IV,LGF,"$63,300,095","3,183","$31,756,764","3,183",10/26/07,serialkillerthriller
8324,10,The Cell,NL,"$61,334,059","2,476","$17,515,050","2,411",8/18/00,serialkillerthriller
8325,11,Kiss the Girls,Par.,"$60,527,873","2,406","$13,215,167","2,271",10/3/97,serialkillerthriller
8326,12,Sea of Love,Uni.,"$58,571,513","1,439","$10,017,840","1,246",9/15/89,serialkillerthriller
8327,13,Saw,Lions,"$56,000,369","2,467","$18,276,468","2,315",10/29/04,serialkillerthriller
8328,14,Identity,Sony,"$52,159,536","2,733","$16,225,263","2,733",4/25/03,serialkillerthriller
8329,15,Natural Born Killers,WB,"$50,282,766","1,904","$11,166,687","1,510",8/26/94,serialkillerthriller
8330,16,Saw 3D,LGF,"$45,710,178","2,808","$22,530,123","2,808",10/29/10,serialkillerthriller
8331,17,Psycho II,Uni.,"$34,725,000","1,488","$8,310,244","1,448",6/3/83,serialkillerthriller
8332,18,Monster,NM,"$34,469,210","1,093","$86,831",4,12/24/03,serialkillerthriller
8333,19,Zodiac,Par.,"$33,080,084","2,379","$13,395,610","2,362",3/2/07,serialkillerthriller
8334,20,Taking Lives,WB,"$32,682,342","2,705","$11,458,465","2,705",3/19/04,serialkillerthriller
8335,21,Copycat,WB,"$32,051,917","1,661","$5,170,522","1,390",10/27/95,serialkillerthriller
8336,22,Dressed to Kill,Orion,"$31,899,000",-,n/a,-,6/23/80,serialkillerthriller
8337,23,From Hell,Fox,"$31,602,566","2,334","$11,014,818","2,305",10/19/01,serialkillerthriller
8338,24,The Watcher,Uni.,"$28,946,615","2,777","$9,062,295","2,742",9/8/00,serialkillerthriller
8339,25,Untraceable,SGem,"$28,687,835","2,368","$11,354,069","2,368",1/25/08,serialkillerthriller
8340,26,Mr. Brooks,MGM,"$28,549,298","2,453","$10,017,067","2,453",6/1/07,serialkillerthriller
8341,27,Hannibal Rising,MGM/W,"$27,670,986","3,003","$13,051,650","3,003",2/9/07,serialkillerthriller
8342,28,Blood Work,WB,"$26,235,081","2,525","$7,312,413","2,525",8/9/02,serialkillerthriller
8343,29,Alex Cross,LG/S,"$25,888,412","2,541","$11,396,768","2,539",10/19/12,serialkillerthriller
8344,30,Twisted,Par.,"$25,198,598","2,704","$8,904,299","2,703",2/27/04,serialkillerthriller
8345,31,Psycho (1998),Uni.,"$21,456,130","2,489","$10,031,850","2,477",12/4/98,serialkillerthriller
8346,32,The Pledge,WB,"$19,733,089","1,410","$5,765,347","1,275",1/19/01,serialkillerthriller
8347,33,Summer of Sam,BV,"$19,288,130","1,536","$5,952,452","1,536",7/2/99,serialkillerthriller
8348,34,The Raven,Rela.,"$16,008,272","2,209","$7,289,642","2,203",4/27/12,serialkillerthriller
8349,35,American Psycho,Lions,"$15,070,285","1,242","$4,961,015","1,236",4/14/00,serialkillerthriller
8350,36,The Vanishing,Fox,"$14,543,394","1,658","$5,009,928","1,656",2/5/93,serialkillerthriller
8351,37,Psycho III,Uni.,"$14,481,606","1,408","$3,238,400","1,408",7/4/86,serialkillerthriller
8352,38,Gone,LG/S,"$11,682,205","2,186","$4,770,360","2,186",2/24/12,serialkillerthriller
8353,39,So I Married an Axe Murderer,TriS,"$11,585,483","1,355","$3,466,930","1,349",7/30/93,serialkillerthriller
8354,40,Suspect Zero,Par.,"$8,725,813","1,501","$3,446,375","1,500",8/27/04,serialkillerthriller
8355,41,Manhunter,DEG,"$8,620,929",779,"$2,204,400",779,8/15/86,serialkillerthriller
8356,42,Serial Mom,Sav.,"$7,820,688",560,"$2,040,450",502,4/13/94,serialkillerthriller
8357,43,Basic Instinct 2,Sony,"$5,971,336","1,453","$3,201,420","1,453",3/31/06,serialkillerthriller
8358,44,In the Cut,SGem,"$4,750,602",825,"$97,625",6,10/22/03,serialkillerthriller
8359,45,Kalifornia,Gram.,"$2,395,231",359,"$1,159,133",359,9/3/93,serialkillerthriller
8360,46,The Rosary Murders,NL,"$1,730,337",-,n/a,-,8/28/87,serialkillerthriller
8361,47,Nightwatch,Mira.,"$1,179,002",300,"$585,733",300,4/17/98,serialkillerthriller
8362,48,Ek Villain,Eros,"$730,530",104,"$414,116",104,6/27/14,serialkillerthriller
8363,49,Henry: Portrait of a Serial Killer,Grey,"$609,939",8,n/a,-,1/5/90,serialkillerthriller
8364,50,The Minus Man,Art.,"$370,668",45,"$40,292",5,9/10/99,serialkillerthriller
8365,51,7 Khoon Maaf,UTV,"$270,207",68,"$164,153",65,2/18/11,serialkillerthriller
8366,52,"Filth to Ashes, Flesh to Dust",Noct.,"$202,531",11,"$86,086",11,9/30/11,serialkillerthriller
8367,53,Malevolence,PZR,"$127,287",10,"$13,445",2,9/10/04,serialkillerthriller
8368,54,Blue Caprice,IFC,"$93,995",36,"$13,400",1,9/13/13,serialkillerthriller
8369,55,Office Killer,Strand,"$76,054",-,n/a,-,12/3/97,serialkillerthriller
8370,56,The Zodiac,Think,"$45,148",10,"$20,578",10,3/17/06,serialkillerthriller
8371,57,Close Your Eyes,First,"$41,392",17,"$21,980",17,4/23/04,serialkillerthriller
8372,58,36 Saints,AFP,"$11,640",9,"$7,373",9,9/6/13,serialkillerthriller
8373,59,Good Neighbors,Magn.,"$7,072",3,"$2,953",3,7/29/11,serialkillerthriller
8374,60,The Hillside Strangler,Tar.,"$4,143",1,$306,1,9/24/04,serialkillerthriller
8375,-,All the Boys Love Mandy Lane,RTWC,n/a,-,n/a,-,10/11/13,serialkillerthriller
8376,NaN,The Truman Show,Par.,"$125,618,201","2,911","$31,542,121","2,315",6/5/98,scifisatire
8377,2,The Stepford Wives,Par.,"$59,484,742","3,057","$21,406,781","3,057",6/11/04,scifisatire
8378,3,Starship Troopers,Sony,"$54,814,377","2,971","$22,058,773","2,971",11/7/97,scifisatire
8379,4,Robocop,Orion,"$53,424,681","1,601","$8,008,721","1,580",7/17/87,scifisatire
8380,5,Robocop 2,Orion,"$45,681,173","1,806","$14,145,411","1,768",6/22/90,scifisatire
8381,6,Mars Attacks!,WB,"$37,771,017","1,955","$9,384,272","1,955",12/13/96,scifisatire
8382,7,A Clockwork Orange,WB,"$26,589,355",-,n/a,-,2/2/72,scifisatire
8383,8,Brazil,Uni.,"$9,929,135",173,"$30,099",1,12/18/85,scifisatire
8384,9,Simone,NL,"$9,688,676","1,920","$3,813,463","1,920",8/23/02,scifisatire
8385,10,Videodrome,Uni.,"$2,120,439",600,"$1,194,175",600,2/4/83,scifisatire
8386,11,Radioactive Dreams,DEG,"$220,038",90,"$141,055",90,9/19/86,scifisatire
8387,NaN,The Jungle Book (2016),BV,"$359,910,883","4,144","$103,261,464","4,028",4/15/16,talkinganimal
8388,2,Alvin and the Chipmunks: The Squeakquel,Fox,"$219,614,612","3,747","$48,875,415","3,700",12/23/09,talkinganimal
8389,3,Alvin and the Chipmunks,Fox,"$217,326,974","3,499","$44,307,417","3,475",12/14/07,talkinganimal
8390,4,Scooby-Doo,WB,"$153,294,164","3,447","$54,155,312","3,447",6/14/02,talkinganimal
8391,5,Doctor Dolittle,Fox,"$144,156,605","2,871","$29,014,324","2,777",6/26/98,talkinganimal
8392,6,Stuart Little,Sony,"$140,035,367","3,151","$15,018,223","2,878",12/17/99,talkinganimal
8393,7,101 Dalmatians (1996),BV,"$136,189,294","2,901","$33,504,025","2,794",11/27/96,talkinganimal
8394,8,Alvin and the Chipmunks: Chipwrecked,Fox,"$133,110,742","3,734","$23,244,744","3,723",12/16/11,talkinganimal
8395,9,G-Force,BV,"$119,436,770","3,697","$31,706,934","3,697",7/24/09,talkinganimal
8396,10,Dr. Dolittle 2,Fox,"$112,952,899","3,053","$25,037,039","3,049",6/22/01,talkinganimal
8397,11,Hop,Uni.,"$108,085,305","3,616","$37,543,710","3,579",4/1/11,talkinganimal
8398,12,Yogi Bear,WB,"$100,246,011","3,515","$16,411,322","3,515",12/17/10,talkinganimal
8399,13,Beverly Hills Chihuahua,BV,"$94,514,402","3,239","$29,300,465","3,215",10/3/08,talkinganimal
8400,14,Cats & Dogs,WB,"$93,385,515","3,040","$21,707,617","3,040",7/4/01,talkinganimal
8401,15,Alvin and the Chipmunks: The Road Chip,Fox,"$85,886,987","3,705","$14,287,159","3,653",12/18/15,talkinganimal
8402,16,Scooby-Doo 2: Monsters Unleashed,WB,"$84,216,833","3,312","$29,438,331","3,312",3/26/04,talkinganimal
8403,17,Charlotte's Web (2006),Par.,"$82,985,708","3,745","$11,457,353","3,566",12/15/06,talkinganimal
8404,18,Zookeeper,Sony,"$80,360,843","3,482","$20,065,617","3,482",7/8/11,talkinganimal
8405,19,Garfield: The Movie,Fox,"$75,369,589","3,150","$21,727,611","3,094",6/11/04,talkinganimal
8406,20,102 Dalmatians,BV,"$66,957,026","2,704","$19,883,351","2,704",11/22/00,talkinganimal
8407,21,Stuart Little 2,Sony,"$64,956,806","3,282","$15,115,152","3,255",7/19/02,talkinganimal
8408,22,Babe,Uni.,"$63,658,910","1,790","$8,742,545","1,591",8/4/95,talkinganimal
8409,23,Racing Stripes,WB,"$49,772,522","3,185","$13,920,052","3,185",1/14/05,talkinganimal
8410,24,Underdog,BV,"$43,760,605","3,013","$11,585,121","3,013",8/3/07,talkinganimal
8411,25,Cats & Dogs: The Revenge of Kitty Galore,WB,"$43,585,753","3,705","$12,279,363","3,705",7/30/10,talkinganimal
8412,26,Homeward Bound: The Incredible Journey,BV,"$41,833,324","1,798","$60,672",2,2/5/93,talkinganimal
8413,27,Good Boy!,MGM,"$37,667,746","3,225","$13,107,022","3,225",10/10/03,talkinganimal
8414,28,Marmaduke,Fox,"$33,644,788","3,213","$11,599,661","3,213",6/4/10,talkinganimal
8415,29,Homeward Bound II: Lost in San Francisco,BV,"$32,772,492","2,129","$8,605,649","2,119",3/8/96,talkinganimal
8416,30,Garfield: A Tail of Two Kitties,Fox,"$28,426,747","2,981","$7,288,977","2,946",6/16/06,talkinganimal
8417,31,Paulie,DW,"$26,875,268","1,812","$5,369,800","1,553",4/17/98,talkinganimal
8418,32,Babe: Pig in the City,Uni.,"$18,319,860","2,387","$6,162,640","2,384",11/27/98,talkinganimal
8419,33,Hot to Trot,WB,"$6,436,211","1,157","$2,206,218","1,156",8/26/88,talkinganimal
8420,34,Gordy,Mira.,"$3,941,146","1,135","$1,591,229","1,131",5/12/95,talkinganimal
8421,35,Bailey's Billions,Echo,"$45,000",37,"$45,000",37,8/5/05,talkinganimal
8422,-,Dr. Dolittle 3,Fox,n/a,-,n/a,-,N/A,talkinganimal
8423,NaN,The Longest Yard,Par.,"$158,119,460","3,654","$47,606,480","3,634",5/27/05,comedyremake
8424,2,Doctor Dolittle,Fox,"$144,156,605","2,871","$29,014,324","2,777",6/26/98,comedyremake
8425,3,Cheaper by the Dozen,Fox,"$138,614,544","3,307","$27,557,647","3,298",12/25/03,comedyremake
8426,4,The Nutty Professor (1996),Uni.,"$128,814,019","2,239","$25,411,725","2,115",6/28/96,comedyremake
8427,5,Mr. Deeds,Sony,"$126,293,452","3,239","$37,162,787","3,231",6/28/02,comedyremake
8428,6,You've Got Mail(The Shop Around the Corner),WB,"$115,821,495","2,948","$18,426,749","2,691",12/18/98,comedyremake
8429,7,Fun with Dick and Jane,Sony,"$110,332,737","3,239","$14,383,515","3,056",12/21/05,comedyremake
8430,8,Freaky Friday,BV,"$110,230,332","3,067","$22,203,007","2,954",8/6/03,comedyremake
8431,9,Just Go With It(Cactus Flower),Sony,"$103,028,109","3,548","$30,514,732","3,548",2/11/11,comedyremake
8432,10,Flubber(The Absent Minded Professor),BV,"$92,977,226","2,679","$26,725,207","2,641",11/26/97,comedyremake
8433,11,Father of the Bride,BV,"$89,325,780","1,712","$7,031,146","1,561",12/20/91,comedyremake
8434,12,The Pink Panther (2006),Sony,"$82,226,474","3,477","$20,220,412","3,477",2/10/06,comedyremake
8435,13,Father of the Bride Part II,BV,"$76,594,107","2,148","$11,134,978","1,949",12/8/95,comedyremake
8436,14,The Parent Trap,BV,"$66,308,518","2,407","$11,148,497","2,247",7/31/98,comedyremake
8437,15,Down to Earth(Heaven Can Wait),Par.,"$64,186,502","2,521","$17,268,883","2,521",2/16/01,comedyremake
8438,16,The Shaggy Dog,BV,"$61,123,569","3,501","$16,310,058","3,501",3/10/06,comedyremake
8439,17,The Secret Life of Walter Mitty,Fox,"$58,236,838","2,922","$12,765,508","2,909",12/25/13,comedyremake
8440,18,Sabrina,Par.,"$53,672,080","1,976","$5,563,259","1,821",12/15/95,comedyremake
8441,19,"Yours, Mine and Ours",Par.,"$53,412,862","3,210","$17,461,108","3,206",11/23/05,comedyremake
8442,20,Are We Done Yet?(Mr. Blandings Builds His Dream House),SonR,"$49,662,533","2,944","$14,262,724","2,877",4/4/07,comedyremake
8443,21,About Last Night (2014),SGem,"$48,637,684","2,253","$25,649,011","2,253",2/14/14,comedyremake
8444,22,The Preacher's Wife(The Bishop's Wife),BV,"$48,102,795","2,008","$7,649,752","1,783",12/13/96,comedyremake
8445,23,Death at a Funeral (2010),SGem,"$42,739,347","2,459","$16,217,540","2,459",4/16/10,comedyremake
8446,24,Fever Pitch,Fox,"$42,071,069","3,275","$12,400,125","3,267",4/8/05,comedyremake
8447,25,Dirty Rotten Scoundrels(Bedtime Story),Orion,"$42,039,085","1,515","$3,840,498","1,466",12/16/88,comedyremake
8448,26,The Ladykillers,BV,"$39,799,191","1,589","$12,634,563","1,583",3/26/04,comedyremake
8449,27,Last Holiday,Par.,"$38,399,961","2,514","$12,806,188","2,514",1/13/06,comedyremake
8450,28,Bedazzled (2000),Fox,"$37,886,980","2,571","$13,106,526","2,568",10/20/00,comedyremake
8451,29,The Heartbreak Kid,P/DW,"$36,787,257","3,233","$14,022,105","3,229",10/5/07,comedyremake
8452,30,What a Girl Wants(The Reluctant Debutante),WB,"$36,105,433","2,964","$11,434,964","2,964",4/4/03,comedyremake
8453,31,Arthur (2011),WB,"$33,035,397","3,276","$12,222,756","3,276",4/8/11,comedyremake
8454,32,Bad News Bears,Par.,"$32,868,349","3,183","$11,382,472","3,183",7/22/05,comedyremake
8455,33,Major Payne(The Private War of Major Benson),Uni.,"$29,412,050","1,991","$7,011,225","1,895",3/24/95,comedyremake
8456,34,The Out-of-Towners,Par.,"$28,544,120","2,128","$8,224,215","2,102",4/2/99,comedyremake
8457,35,Love Don't Cost a Thing(Can't Buy Me Love),WB,"$21,924,226","1,844","$6,315,311","1,844",12/12/03,comedyremake
8458,36,The Big Wedding,LGF,"$21,819,348","2,633","$7,591,663","2,633",4/26/13,comedyremake
8459,37,The In-Laws,WB,"$20,453,431","2,652","$7,319,848","2,652",5/23/03,comedyremake
8460,38,Unfaithfully Yours (1984),Fox,"$19,928,200",831,"$3,774,126",820,2/10/84,comedyremake
8461,39,The Producers,Uni.,"$19,398,532",978,"$154,590",6,12/16/05,comedyremake
8462,40,Fright Night (2011),BV,"$18,302,607","3,114","$7,714,388","3,114",8/19/11,comedyremake
8463,41,That Darn Cat,BV,"$18,301,610","1,891","$6,424,617","1,891",2/14/97,comedyremake
8464,42,Born Yesterday,BV,"$17,952,857","1,301","$5,911,343","1,297",3/26/93,comedyremake
8465,43,School for Scoundrels,MGM/W,"$17,807,569","3,007","$8,602,333","3,004",9/29/06,comedyremake
8466,44,To Be or Not to Be (1983),Fox,"$13,030,214",645,"$1,020,958",638,12/16/83,comedyremake
8467,45,Moon Over Parador(The Magnificent Fraud),Uni.,"$11,444,204","1,145","$3,268,975","1,145",9/9/88,comedyremake
8468,46,We're No Angels,Par.,"$10,555,348","1,495","$2,047,630","1,239",12/15/89,comedyremake
8469,47,The Grand Seduction,EOne,"$3,430,018",124,"$323,743",94,5/30/14,comedyremake
8470,48,What Women Want (Wo Zhi Nu Run Xin) ,CL,"$123,526",26,"$53,224",26,2/3/11,comedyremake
8471,-,Revenge of the Nerds (2007),FoxA,n/a,-,n/a,-,N/A,comedyremake
8472,NaN,Lara Croft: Tomb Raider,Par.,"$131,168,070","3,349","$47,735,743","3,308",6/15/01,videogameadaptation
8473,2,The Angry Birds Movie,Sony,"$105,936,416","3,932","$38,155,177","3,932",5/20/16,videogameadaptation
8474,3,Prince of Persia: The Sands of Time,BV,"$90,759,676","3,646","$30,095,259","3,646",5/28/10,videogameadaptation
8475,4,Pokemon: The First Movie,WB,"$85,744,662","3,043","$31,036,678","3,043",11/10/99,videogameadaptation
8476,5,Mortal Kombat,NL,"$70,454,098","2,630","$23,283,887","2,421",8/18/95,videogameadaptation
8477,6,Lara Croft Tomb Raider: The Cradle of Life,Par.,"$65,660,196","3,222","$21,783,641","3,222",7/25/03,videogameadaptation
8478,7,Resident Evil: Afterlife,SGem,"$60,128,566","3,209","$26,650,264","3,203",9/10/10,videogameadaptation
8479,8,Resident Evil: Apocalypse,SGem,"$51,201,453","3,284","$23,036,273","3,284",9/10/04,videogameadaptation
8480,9,Resident Evil: Extinction,SGem,"$50,648,679","2,848","$23,678,580","2,828",9/21/07,videogameadaptation
8481,10,Silent Hill,Sony,"$46,982,632","2,932","$20,152,598","2,926",4/21/06,videogameadaptation
8482,11,Warcraft,Uni.,"$46,114,135","3,406","$24,166,110","3,400",6/10/16,videogameadaptation
8483,12,Pokemon: The Movie 2000,WB,"$43,758,684","2,752","$19,575,608","2,752",7/21/00,videogameadaptation
8484,13,Need for Speed,BV,"$43,577,636","3,115","$17,844,939","3,115",3/14/14,videogameadaptation
8485,14,Resident Evil: Retribution,SGem,"$42,345,531","3,016","$21,052,227","3,012",9/14/12,videogameadaptation
8486,15,Max Payne,Fox,"$40,689,393","3,381","$17,639,849","3,376",10/17/08,videogameadaptation
8487,16,Resident Evil,SGem,"$40,119,709","2,528","$17,707,106","2,528",3/15/02,videogameadaptation
8488,17,Hitman,Fox,"$39,687,694","2,468","$13,180,769","2,458",11/21/07,videogameadaptation
8489,18,Mortal Kombat: Annihilation,NL,"$35,927,406","2,140","$16,771,694","2,140",11/21/97,videogameadaptation
8490,19,Street Fighter,Uni.,"$33,423,521","1,738","$6,859,495","1,671",12/23/94,videogameadaptation
8491,20,Final Fantasy: The Spirits Within,Sony,"$32,131,830","2,649","$11,408,853","2,649",7/11/01,videogameadaptation
8492,21,Doom,Uni.,"$28,212,337","3,044","$15,488,870","3,044",10/21/05,videogameadaptation
8493,22,Hitman: Agent 47,Fox,"$22,467,450","3,273","$8,326,530","3,261",8/21/15,videogameadaptation
8494,23,Super Mario Bros.,BV,"$20,915,465","2,081","$8,532,623","2,081",5/28/93,videogameadaptation
8495,24,Silent Hill: Revelation 3D,ORF,"$17,529,157","2,933","$8,023,036","2,933",10/26/12,videogameadaptation
8496,25,Pokemon 3: The Movie,WB,"$17,052,128","2,675","$8,240,752","2,675",4/6/01,videogameadaptation
8497,26,The Wizard,Uni.,"$14,278,900","1,204","$2,142,525","1,155",12/15/89,videogameadaptation
8498,27,Wing Commander,Fox,"$11,578,059","2,019","$5,114,365","2,019",3/12/99,videogameadaptation
8499,28,House of the Dead,Art.,"$10,249,719","1,540","$5,683,280","1,520",10/10/03,videogameadaptation
8500,29,Ratchet & Clank,Focus,"$8,821,329","2,895","$4,869,278","2,891",4/29/16,videogameadaptation
8501,30,Street Fighter: The Legend of Chun-Li,Fox,"$8,742,261","1,164","$4,721,110","1,136",2/27/09,videogameadaptation
8502,31,Alone in the Dark,Lions,"$5,178,569","2,124","$2,834,421","2,124",1/28/05,videogameadaptation
8503,32,In the Name of the King: A Dungeon Siege Tale(Dungeon Siege),Free,"$4,775,656","1,632","$2,984,524","1,632",1/11/08,videogameadaptation
8504,33,BloodRayne,Rom.,"$2,405,420",985,"$1,550,000",985,1/6/06,videogameadaptation
8505,34,Double Dragon,Gram.,"$2,341,309","1,087","$1,376,561","1,087",11/4/94,videogameadaptation
8506,35,Pokemon 4Ever,Dim.,"$1,727,447",249,"$717,061",249,10/11/02,videogameadaptation
8507,36,Pokemon Heroes,Mira.,"$746,381",200,"$260,372",196,5/16/03,videogameadaptation
8508,37,DOA: Dead or Alive,W/Dim.,"$480,813",505,"$260,713",505,6/15/07,videogameadaptation
8509,38,Postman Pat: The Movie,Shout!,"$1,519",2,"$1,254",2,6/27/14,videogameadaptation
8510,-,Tekken,SGem,n/a,-,n/a,-,2009,videogameadaptation
8511,NaN,The Blind Side,WB,"$255,959,475","3,407","$34,119,372","3,110",11/20/09,sportsdrama
8512,2,Rocky IV,UA,"$127,873,716","2,254","$19,991,537","1,325",11/27/85,sportsdrama
8513,3,Rocky III,UA,"$125,049,125","1,317","$12,431,486",939,5/28/82,sportsdrama
8514,4,Seabiscuit,Uni.,"$120,277,854","2,573","$20,854,735","1,989",7/25/03,sportsdrama
8515,5,Rocky,UA,"$117,235,147",-,n/a,-,11/21/76,sportsdrama
8516,6,Remember the Titans,BV,"$115,654,751","2,803","$20,905,831","1,865",9/29/00,sportsdrama
8517,7,Creed,WB,"$109,767,581","3,502","$29,632,823","3,404",11/25/15,sportsdrama
8518,8,Million Dollar Baby,WB,"$100,492,203","2,375","$179,953",8,12/15/04,sportsdrama
8519,9,42,WB,"$95,020,213","3,405","$27,487,144","3,003",4/12/13,sportsdrama
8520,10,The Fighter,Par.,"$93,617,009","2,534","$300,010",4,12/10/10,sportsdrama
8521,11,Real Steel,BV,"$85,468,508","3,440","$27,319,677","3,440",10/7/11,sportsdrama
8522,12,Rocky II,UA,"$85,182,160",-,"$6,390,537",780,6/15/79,sportsdrama
8523,13,Moneyball,Sony,"$75,605,492","3,018","$19,501,302","2,993",9/23/11,sportsdrama
8524,14,The Rookie,BV,"$75,600,072","2,543","$16,021,684","2,511",3/29/02,sportsdrama
8525,15,Any Given Sunday,WB,"$75,530,832","2,505","$13,584,625","2,505",12/22/99,sportsdrama
8526,16,Rocky Balboa,MGM,"$70,270,943","3,019","$12,158,168","3,017",12/20/06,sportsdrama
8527,17,Coach Carter,Par.,"$67,264,877","2,574","$24,182,961","2,524",1/14/05,sportsdrama
8528,18,Field of Dreams,Uni.,"$64,431,625","1,100","$531,346",22,4/21/89,sportsdrama
8529,19,Miracle,BV,"$64,378,093","2,755","$19,377,577","2,605",2/6/04,sportsdrama
8530,20,Cinderella Man,Uni.,"$61,649,911","2,820","$18,320,205","2,812",6/3/05,sportsdrama
8531,21,Friday Night Lights,Uni.,"$61,255,921","3,004","$20,269,025","2,667",10/8/04,sportsdrama
8532,22,Secretariat,BV,"$59,713,955","3,108","$12,694,770","3,072",10/8/10,sportsdrama
8533,23,Chariots of Fire,Col.,"$58,972,904",810,"$68,907",3,9/25/81,sportsdrama
8534,24,Ali,Sony,"$58,203,105","2,521","$14,710,892","2,446",12/25/01,sportsdrama
8535,25,Invincible,BV,"$57,806,952","2,987","$17,031,122","2,917",8/25/06,sportsdrama
8536,26,Varsity Blues,Par.,"$52,894,169","2,364","$15,204,148","2,121",1/15/99,sportsdrama
8537,27,Southpaw,Wein.,"$52,421,953","2,772","$16,701,294","2,772",7/24/15,sportsdrama
8538,28,Radio,SonR,"$52,333,738","3,074","$13,303,724","3,074",10/24/03,sportsdrama
8539,29,The Natural,TriS,"$47,951,979","1,012","$5,088,381",989,5/11/84,sportsdrama
8540,30,"McFarland, USA",BV,"$44,482,410","2,792","$11,020,798","2,755",2/20/15,sportsdrama
8541,31,Soul Surfer,TriS,"$43,853,424","2,240","$10,601,862","2,214",4/8/11,sportsdrama
8542,32,We Are Marshall,WB,"$43,545,364","2,606","$6,114,264","2,606",12/22/06,sportsdrama
8543,33,Glory Road,BV,"$42,647,449","2,397","$13,594,734","2,222",1/13/06,sportsdrama
8544,34,Rocky V,UA,"$40,946,358","2,106","$14,073,170","2,053",11/16/90,sportsdrama
8545,35,Blue Crush,Uni.,"$40,390,647","3,015","$14,169,455","3,002",8/16/02,sportsdrama
8546,36,Gridiron Gang,Sony,"$38,432,823","3,510","$14,414,630","3,504",9/15/06,sportsdrama
8547,37,Million Dollar Arm,BV,"$36,457,627","3,019","$10,515,659","3,019",5/16/14,sportsdrama
8548,38,Trouble with the Curve,WB,"$35,763,137","3,212","$12,162,040","3,212",9/21/12,sportsdrama
8549,39,For Love of the Game,Uni.,"$35,188,640","2,933","$13,041,685","2,829",9/17/99,sportsdrama
8550,40,Concussion (2015),Sony,"$34,542,474","2,841","$10,513,749","2,841",12/25/15,sportsdrama
8551,41,The Legend of Bagger Vance,DW,"$30,919,168","2,162","$11,516,712","2,061",11/3/00,sportsdrama
8552,42,The Champ,MGM,"$30,441,738",-,"$1,972,684",563,4/4/79,sportsdrama
8553,43,When the Game Stands Tall,TriS,"$30,127,963","2,766","$8,381,509","2,673",8/22/14,sportsdrama
8554,44,Draft Day,LG/S,"$28,842,237","2,781","$9,783,603","2,781",4/11/14,sportsdrama
8555,45,Hoosiers,Orion,"$28,607,524","1,048","$220,068",30,11/14/86,sportsdrama
8556,46,Love & Basketball,NL,"$27,459,615","1,245","$8,139,180","1,237",4/21/00,sportsdrama
8557,47,Rush (2013),Uni.,"$26,947,624","2,308","$187,289",5,9/20/13,sportsdrama
8558,48,The Wrestler,FoxS,"$26,238,243",776,"$202,714",4,12/17/08,sportsdrama
8559,49,Raging Bull,MGM,"$23,383,987",-,"$128,590",4,11/14/80,sportsdrama
8560,50,Blue Chips,Par.,"$23,070,663","1,980","$10,123,605","1,980",2/18/94,sportsdrama
8561,51,The Program,BV,"$23,032,565","1,661","$6,821,931","1,653",9/24/93,sportsdrama
8562,52,Rudy,TriS,"$22,750,363","1,465","$881,191",117,10/15/93,sportsdrama
8563,53,He Got Game,BV,"$21,567,853","1,414","$7,610,663","1,319",5/1/98,sportsdrama
8564,54,8 Seconds,NL,"$19,623,396",838,"$3,369,037",836,2/25/94,sportsdrama
8565,55,Race (2016),Focus,"$19,115,191","2,387","$7,353,922","2,369",2/19/16,sportsdrama
8566,56,The Babe,Uni.,"$17,530,973","1,568","$5,011,205","1,566",4/17/92,sportsdrama
8567,57,All the Right Moves,Fox,"$17,233,166",909,"$1,625,486",442,10/21/83,sportsdrama
8568,58,Annapolis,BV,"$17,127,992","1,607","$7,681,171","1,605",1/27/06,sportsdrama
8569,59,Above the Rim,NL,"$16,192,320",891,"$3,738,800",836,3/25/94,sportsdrama
8570,60,Eddie the Eagle,Fox,"$15,789,389","2,044","$6,084,682","2,042",2/26/16,sportsdrama
8571,61,Youngblood,UA,"$15,448,384","1,354","$4,183,292","1,354",1/31/86,sportsdrama
8572,62,The Greatest Game Ever Played,BV,"$15,337,393","1,810","$3,657,322","1,014",9/30/05,sportsdrama
8573,63,Woodlawn,PFR,"$14,394,097","1,553","$4,002,226","1,553",10/16/15,sportsdrama
8574,64,Warrior,LGF,"$13,657,115","1,883","$5,242,107","1,869",9/9/11,sportsdrama
8575,65,Vision Quest,WB,"$12,993,175",993,"$2,651,665",993,2/15/85,sportsdrama
8576,66,Undisputed,Mira.,"$12,764,657","1,117","$4,548,750","1,102",8/23/02,sportsdrama
8577,67,Everybody's All-American,WB,"$12,638,294","1,123","$3,425,796","1,122",11/4/88,sportsdrama
8578,68,Victory,Par.,"$10,853,418",-,n/a,-,7/31/81,sportsdrama
8579,69,Facing the Giants,IDP,"$10,178,331",441,"$1,343,537",441,9/29/06,sportsdrama
8580,70,Sunset Park,Sony,"$10,163,782","1,257","$4,705,440","1,257",4/26/96,sportsdrama
