,date	close
474,2014-09-25	92.53
475,2014-09-24	92.8
476,2014-09-23	91.56
477,2014-09-22	91.5
478,2014-09-19	92.41
479,2014-09-18	93.07
480,2014-09-17	94.42
481,2014-09-16	94.88
482,2014-09-15	92.92
483,2014-09-12	92.27
484,2014-09-11	92.83
485,2014-09-10	91.5
486,2014-09-09	93.22
487,2014-09-08	92.66
488,2014-09-05	93.29
489,2014-09-04	94.45
490,2014-09-03	95.54
491,2014-09-02	92.88
492,2014-Aug-29	95.96
493,2014-Aug-28	94.55
494,2014-Aug-27	93.88
495,2014-Aug-26	93.86
496,2014-Aug-25	93.38
497,2014-Aug-22	93.65
498,2014-Aug-21	93.96
499,2014-Aug-20	96.3
500,2014-Aug-19	94.48
501,2014-Aug-18	96.41
502,2014-Aug-15	97.35
503,2014-Aug-14	97.2
504,2014-Aug-13	97.59
505,2014-Aug-12	97.37
506,2014-Aug-11	98.08
507,2014-Aug-08	97.65
508,2014-Aug-07	97.34
509,2014-Aug-06	96.92
510,2014-Aug-05	97.38
511,2014-Aug-04	98.29
512,2014-Aug-01	97.85
513,2014-Jul-31	98.15
514,2014-Jul-30	100.25
515,2014-Jul-29	100.97
516,2014-Jul-28	101.67
517,2014-Jul-25	102.09
518,2014-Jul-24	102.07
519,2014-Jul-23	103.02
520,2014-Jul-22	104.3
521,2014-Jul-21	104.59
522,2014-Jul-18	103.13
523,2014-Jul-17	103.19
524,2014-Jul-16	101.2
525,2014-Jul-15	99.96
526,2014-Jul-14	100.91
527,2014-Jul-11	100.83
528,2014-Jul-10	102.93
529,2014-Jul-09	102.29
530,2014-Jul-08	103.4
531,2014-Jul-07	103.53
532,2014-Jul-03	104.06
533,2014-Jul-02	104.48
534,2014-Jul-01	105.3
535,2014-Jun-30	105.37
536,2014-Jun-27	105.74
537,2014-Jun-26	105.7
538,2014-Jun-25	106.5
539,2014-Jun-24	106.03
540,2014-Jun-23	106.17
541,2014-Jun-20	107.3
542,2014-Jun-19	106.43
543,2014-Jun-18	105.97
544,2014-Jun-17	106.36
545,2014-Jun-16	107.03
546,2014-Jun-13	106.91
547,2014-Jun-12	106.53
548,2014-Jun-11	104.4
549,2014-Jun-10	104.35
550,2014-Jun-09	104.41
551,2014-Jun-06	102.66
552,2014-Jun-05	102.48
553,2014-Jun-04	102.64
554,2014-Jun-03	102.66
555,2014-Jun-02	102.4
