date	close
2014-Jun-13	106.91
2014-Jun-12	106.53
2014-Jun-11	104.4
2014-Jun-10	104.35
2014-Jun-09	104.41
2014-Jun-06	102.66
2014-Jun-05	102.48
2014-Jun-04	102.64
2014-Jun-03	102.66
2014-Jun-02	102.4
