,Airline Name,Airports,Cities,Distance,Average Delay (min),Variance of Delays (min),Overall,Cabin,Entertainment,Wifi,Food/Beverage,Bang for Buck,Topics Extract,url,for_html
5613,Southwest Airlines Co.,"('LAS', 'OKC')","('Las Vegas, NV', 'Oklahoma City, OK')",986.0,4.4088397790055245,292.14303253529795,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5614,Southwest Airlines Co.,"('LAS', 'OMA')","('Las Vegas, NV', 'Omaha, NE')",1099.0,4.865384615384615,482.91231066231046,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5615,Southwest Airlines Co.,"('LAS', 'ONT')","('Las Vegas, NV', 'Ontario, CA')",197.0,3.638888888888889,156.34277313525234,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5616,Southwest Airlines Co.,"('LAS', 'PDX')","('Las Vegas, NV', 'Portland, OR')",763.0,3.7437325905292482,240.04028882214715,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5617,Southwest Airlines Co.,"('LAS', 'PHL')","('Las Vegas, NV', 'Philadelphia, PA')",2176.0,3.629213483146068,154.07686414708888,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5618,Southwest Airlines Co.,"('LAS', 'PHX')","('Las Vegas, NV', 'Phoenix, AZ')",255.0,3.1566771819137744,177.20174221041555,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5619,Southwest Airlines Co.,"('LAS', 'PIT')","('Las Vegas, NV', 'Pittsburgh, PA')",1910.0,3.967567567567568,259.4554641598122,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5620,Southwest Airlines Co.,"('LAS', 'RDU')","('Las Vegas, NV', 'Raleigh/Durham, NC')",2026.0,8.264957264957268,714.6102269378131,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5621,Southwest Airlines Co.,"('LAS', 'RNO')","('Las Vegas, NV', 'Reno, NV')",345.0,2.794117647058824,176.52381586836304,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5622,Southwest Airlines Co.,"('LAS', 'SAN')","('Las Vegas, NV', 'San Diego, CA')",258.0,4.098018769551616,309.6062486802322,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
