date	close
5-Feb-16	31
8-Feb-16	30.12
9-Feb-16	28.35
10-Feb-16	27.33
11-Feb-16	27.3
12-Feb-16	29.08
16-Feb-16	29.15
17-Feb-16	31.35
18-Feb-16	30.57
19-Feb-16	29.87
22-Feb-16	33.35
23-Feb-16	31.37
24-Feb-16	32.22
25-Feb-16	33.08
26-Feb-16	32.84
29-Feb-16	33.9
1-Mar-16	33.89
2-Mar-16	34.73
3-Mar-16	34.69
4-Mar-16	36.33
7-Mar-16	37.98
8-Mar-16	36.33
9-Mar-16	38.18
10-Mar-16	38.02
11-Mar-16	38.49
14-Mar-16	37.38
15-Mar-16	36.72
16-Mar-16	38.61
17-Mar-16	40.34
18-Mar-16	39.35
21-Mar-16	41.62
22-Mar-16	41.22
23-Mar-16	39.77
24-Mar-16	39.59
28-Mar-16	39.3
29-Mar-16	38.49
30-Mar-16	38.3
31-Mar-16	38.11
1-Apr-16	36.63
4-Apr-16	35.46
5-Apr-16	36.56
6-Apr-16	37.73
7-Apr-16	37.53
8-Apr-16	39.66
11-Apr-16	40.34
12-Apr-16	41.64
13-Apr-16	41.55
14-Apr-16	41.45
15-Apr-16	40.4
18-Apr-16	40.05
19-Apr-16	40.96
20-Apr-16	42.74
21-Apr-16	43.43
22-Apr-16	43.75
25-Apr-16	42.99
26-Apr-16	44.66
27-Apr-16	45.33
28-Apr-16	45.88
29-Apr-16	45.99
2-May-16	44.9
3-May-16	43.88
4-May-16	44.05
5-May-16	44.51
6-May-16	44.56
9-May-16	43.24
10-May-16	44.53
11-May-16	45.99
12-May-16	46.39
13-May-16	46.36
16-May-16	47.89
17-May-16	48.59
18-May-16	47.89
19-May-16	48.27
20-May-16	47.67
23-May-16	48.11
24-May-16	49.1
25-May-16	49.74
26-May-16	49.4
27-May-16	49.56
31-May-16	48.84
1-Jun-16	48.91
2-Jun-16	49.05
3-Jun-16	48.88
6-Jun-16	49.71
7-Jun-16	50.43
8-Jun-16	51.53
9-Jun-16	50.46
10-Jun-16	48.87
13-Jun-16	48.56
14-Jun-16	47.9
15-Jun-16	47.49
16-Jun-16	45.99
17-Jun-16	48.26
20-Jun-16	49.2
21-Jun-16	48.95
22-Jun-16	49
23-Jun-16	50.13
24-Jun-16	47.57
27-Jun-16	46.61
28-Jun-16	48.11
29-Jun-16	49.54
30-Jun-16	48.4
1-Jul-16	49.28
5-Jul-16	46.86
6-Jul-16	47.89
7-Jul-16	45.19
8-Jul-16	45.13
11-Jul-16	44.55
12-Jul-16	46.62
13-Jul-16	45.11
14-Jul-16	45.49
15-Jul-16	46.28
18-Jul-16	45.2
19-Jul-16	44.57
20-Jul-16	44.85
21-Jul-16	44.54
22-Jul-16	44.26
25-Jul-16	43.05
26-Jul-16	42.64
27-Jul-16	41.91
28-Jul-16	41.1
29-Jul-16	41.38
1-Aug-16	40.08
2-Aug-16	39.72
3-Aug-16	41.17
4-Aug-16	41.81
5-Aug-16	41.98
8-Aug-16	42.87
9-Aug-16	42.75
10-Aug-16	41.49
11-Aug-16	43.46
12-Aug-16	44.69
